salary,gender,departm,years,age
86285,0,bio,26,64
77125,0,bio,28,58
71922,0,bio,10,38
70499,0,bio,16,46
66624,0,bio,11,41
64451,0,bio,23,60
64366,0,bio,23,53
59344,0,bio,5,40
58560,0,bio,8,38
58294,0,bio,20,50
56092,0,bio,2,40
54452,0,bio,13,43
54269,0,bio,26,56
55125,0,bio,8,38
97630,0,chem,34,64
82444,0,chem,31,61
76291,0,chem,29,65
75382,0,chem,26,56
64762,0,chem,25,
62607,0,chem,20,45
60373,0,chem,26,56
58892,0,chem,18,48
47021,0,chem,4,34
44687,0,chem,4,34
104828,0,geol,,50
71456,0,geol,11,41
65144,0,geol,7,37
52766,0,geol,4,38
112800,0,neuro,14,44
105761,0,neuro,9,39
92951,0,neuro,11,41
86621,0,neuro,19,49
85569,0,neuro,20,46
83896,0,neuro,10,40
79735,0,neuro,11,41
71518,0,neuro,7,37
68029,0,neuro,15,45
66482,0,neuro,14,44
61680,0,neuro,18,48
60455,0,neuro,8,38
58932,0,neuro,11,41
106412,0,stat,23,53
86980,0,stat,23,53
78114,0,stat,8,38
74085,0,stat,11,41
72250,0,stat,26,56
69596,0,stat,20,50
65285,0,stat,20,50
62557,0,stat,28,58
61947,0,stat,22,58
58565,0,stat,29,59
58365,0,stat,18,48
53656,0,stat,2,32
51391,0,stat,5,35
96936,0,physics,15,50
83216,0,physics,11,37
72044,0,physics,2,32
64048,0,physics,23,53
58888,0,physics,26,56
58744,0,physics,20,50
55944,0,physics,21,51
54076,0,physics,19,49
82142,0,math,9,39
70509,0,math,23,53
60320,0,math,14,44
55814,0,math,8,38
53638,0,math,4,42
53517,2,math,5,35
59139,1,bio,8,38
52968,1,bio,18,48
55949,1,chem,4,34
58893,1,neuro,10,35
53662,1,neuro,1,31
57185,1,stat,9,39
52254,1,stat,2,32
61885,1,math,23,60
49542,1,math,3,33
